Feature,Importance
country_Russia,0.22193701833682986
country_China,0.22024753227939273
country_Nigeria,0.1284211610043664
transaction_amount,0.04418954956889662
amount_log,0.04206992559445479
country_India,0.026749279615998423
country_Germany,0.026046064112568327
country_UK,0.025791046021008675
country_USA,0.0250846345079066
amount_category,0.024235369570472766
country_France,0.024163412109960366
country_Mexico,0.02415639669538281
country_Brazil,0.0235499537297234
country_Canada,0.022288936086349617
frequency_amount_ratio,0.01967549173253806
high_amount_flag,0.019199716554143428
customer_std_amount,0.009694546933144884
customer_avg_amount,0.00961064191160144
customer_max_amount,0.009462560731421488
transaction_day,0.006775078788088214
merchant_transaction_count,0.006533702772744811
transaction_hour,0.006047342601293984
transaction_month,0.0050696607364151035
customer_transaction_count,0.004382668432436034
category_transaction_count,0.0038660621813200752
transaction_day_of_week,0.003730065879690738
transaction_type_numeric,0.0021490787813397963
card_type_numeric,0.001239294823237393
device_type_Desktop,0.0010462467111001423
is_business_hours,0.00102069169392226
device_type_Tablet,0.0010041287522724914
device_type_POS,0.0009938089631673184
device_type_Mobile,0.0009826405860864427
is_night_time,0.0009299131295968425
is_weekend,0.0008682084164612655
merchant_category_Pharmacy,0.0006882287713513956
merchant_category_Clothing,0.0006696738390213628
merchant_category_Healthcare,0.0006517358246806403
merchant_category_Online Retail,0.0006439752561675942
merchant_category_Grocery,0.0006404562644357465
merchant_category_Hotel,0.000634441556413026
merchant_category_Utilities,0.0006283049809137235
merchant_category_Electronics,0.0006221134234902449
merchant_category_Entertainment,0.0006028786374055298
merchant_category_Gas Station,0.0005408813958146259
merchant_category_Restaurant,0.0004654797049724105
unusual_amount_for_customer,0.0
